Sample,sSi,sTi,sAl,sCr,sFe3,sMn,sMg,sCa,sNa,sK,sTotal
GRAULA9 TL1,0.023856879994433033,0.0,0.027411784241032994,0.0,0.0,0.0,0.0,0.023248945561926103,0.02035572454897592,0.036436507644017305,0.03262994524140614
GRAULA9 TL1,0.023666066496882455,0.0,0.027135350290783376,0.0,0.0,0.0,0.005550046402624115,0.021317942767825945,0.020246519051272085,0.03777666981703259,0.033264692665906086
GRAULA9 TL1,0.027293029882671738,0.0,0.028941513269918003,0.0,0.01911842344284847,0.0,0.0042100417796437795,0.023818848804411225,0.022642519141573173,0.04856810903837478,0.04067892654555638
GRAULA9 TL2,0.026817036862579247,0.0,0.030045775464432933,0.0,0.017692083622368255,0.0,0.00417128487961402,0.02529595907756368,0.01771408727750508,0.03851924354048655,0.0334202999065461
GRAULA9 TL2,0.023947484122715672,0.0,0.027713748842283035,0.0,0.0,0.0,0.0,0.02571116706314343,0.01417200339214862,0.030383137849324903,0.027797062743759444
PCO 4,0.02537142134286906,0.0,0.030157822255708382,0.0,0.0,0.0,0.0,0.026732336418096116,0.023898001956087545,0.035765003727417116,0.03356282621535676
PCO 4,0.02441190764328277,0.0,0.02909769859773729,0.0,0.0,0.0,0.0,0.025346835168336596,0.024285939411920473,0.03476345628826113,0.0328554606103012
PCO 4,0.024204267549380275,0.0,0.02860212241225577,0.0,0.0,0.0,0.0,0.024465097740323793,0.024198952920052533,0.03572324638407635,0.03330348911615797
PCO 4,0.02781642142294241,0.022330769873968002,0.030324554445186395,0.0,0.0,0.0,0.0,0.024158831678042905,0.023443497786439983,0.03431716950574519,0.032838636888878565
PCO 4,0.02396139322134334,0.0,0.02811245766523575,0.0,0.0,0.0,0.0,0.024013481181151895,0.027672187641856024,0.03558210177828879,0.0344289458020187
PCO 4,0.02491866903840701,0.0,0.029455555088991083,0.0,0.0,0.0,0.0,0.02505071718703994,0.025159826061143756,0.036908175325839204,0.03442479683958344
PCO 4,0.023971271153002252,0.0,0.027933406788783942,0.0,0.0,0.013218305281679674,0.0,0.02404921779863514,0.025034293608085272,0.03340638539215399,0.03263541325383201
PCO 2,0.025678452710566017,0.0,0.030944202037040496,0.0,0.0,0.0,0.0,0.02791134199949201,0.02878014768779796,0.03966435428026058,0.037126562661031794
PCO 2,0.02462074823473823,0.0,0.02917617926553028,0.0,0.0,0.0,0.0,0.02463388442376332,0.029958136053038154,0.037203829142718706,0.03614298349019114
PCO 2,0.024524255055663337,0.0,0.02842777854931906,0.0,0.013449259731673206,0.0,0.0,0.02127773395613568,0.03024866555051124,0.03622053627532234,0.03548706526504528
PCO 2,0.02425436429737733,0.0,0.028609267960121882,0.0,0.0,0.0,0.0,0.024343324011464076,0.02678198463658392,0.03681665926629711,0.03475080422885523
PCO 2,0.025084707348074765,0.0,0.029834523342475567,0.0,0.0,0.0,0.0,0.025621501971597706,0.026145522518522393,0.03663358080860858,0.03462263791292648
PCO 2,0.02452640031859303,0.0,0.029149132156354552,0.0,0.0,0.0,0.0,0.023839127301685976,0.029009913501264556,0.03826318348204863,0.03623668363610121
PCO 2,0.024361022750131557,0.0,0.02870079436749714,0.0,0.0,0.0,0.0,0.02414702651714894,0.02727822705631584,0.036730424992646296,0.034919190834068074
ANZ-2 pumice 4,0.02327557154739419,0.0,0.025949070032803827,0.0,0.015037500284244564,0.0,0.004871589599372395,0.01159322784342383,0.029986899606593564,0.031562000057426716,0.03279024785392298
ANZ-2 pumice 4,0.02161550516201067,0.0,0.02512125150318622,0.0,0.0,0.0,0.0033629763396611076,0.010035933419133506,0.03332564830191428,0.03300548582354534,0.034982322607636444
ANZ-2 pumice 4,0.023295106328737217,0.0,0.026581392950872224,0.0,0.0,0.0,0.0,0.010861254700316812,0.04089257768018239,0.03691685635902233,0.04069998031385667
ANZ-2 pumice 4,0.023142394402593677,0.0,0.026142432717989182,0.0,0.015465453920919948,0.0,0.0,0.010884113329887904,0.024916381083475388,0.031174523514142936,0.030259731121653106
ANZ_A1 Pum 1,0.023395905683211222,0.0,0.02451490231377289,0.0,0.01791373598391886,0.0,0.0,0.01180842183069185,0.03157200383841933,0.03521409348993825,0.03529644736068005
ANZ_A1 Pum 1,0.02372800520174246,0.0,0.024737125978497268,0.0,0.01661048027560344,0.013966131919730902,0.003743385128731707,0.010633959835388184,0.030282667920472062,0.03340210792832273,0.0342568145394129
ANZ_A1 Pum 1,0.02353392576491465,0.0,0.0251620042329718,0.0,0.017047324101862132,0.0,0.0,0.0103660361694674,0.03333883872226115,0.034487333800149275,0.03573802220801063
ANZ_A1 Pum 2,0.02529198679868901,0.0,0.030238030907941745,0.0,0.0,0.0,0.004516600309079264,0.020494985946575155,0.03377974504038546,0.031136222993899947,0.03503794236305884
ANZ_A1 Pum 2,0.031525955632607676,0.03111098125143537,0.03193637526207798,0.0,0.0,0.0,0.00431142906902587,0.01952936217834394,0.03409996889556477,0.031850364906690236,0.036388281370846105
ANZ_A1 Pum 2,0.02205570331817293,0.0,0.024239271713355146,0.0,0.0144797773724744,0.0,0.003495860058739728,0.009220930960506411,0.029378637313328293,0.03258908393303333,0.03279788630395805
ANZ_A1 Pum 2,0.02373830442804634,0.0,0.028098739294090624,0.0,0.0,0.0,0.004227053695371791,0.01685382856400885,0.03293548268882055,0.03110882136975933,0.03432168981143024
ANZ_A1 Pum 3,0.02079996021737888,0.0,0.024110526378062467,0.0,0.0,0.0,0.0,0.009789077706344022,0.03111966383980628,0.03280862467892897,0.03375429787144223
ANZ_A1 Pum 3,0.022708472740854333,0.0,0.024482491560104565,0.0,0.01640239758334574,0.0,0.0,0.01139964488205053,0.02871838257563981,0.03273224783955545,0.032696070983494384
ANZ_A1 Pum 3,0.021616787353303097,0.0,0.024870415625442618,0.0,0.0,0.0,0.0036220987133997744,0.012071511438584044,0.03273381872251052,0.03385002543909581,0.03517953245784739
ANZ_A1 Pum 3,0.023216921715284253,0.0,0.026391255444302205,0.0,0.0,0.0,0.0,0.01155770234280673,0.04199281640251589,0.035874236335207456,0.04079217647722114
ANZ_A1 Pum 3,0.02502530713795015,0.0,0.027461970336432585,0.0,0.018200814533139268,0.013952026121678417,0.0037401430167064357,0.012868795286599094,0.028653102367168747,0.0349248490843791,0.03432847621077454
ANZ1 Tuff Clast 1 Zeo,0.02367897926985983,0.0,0.025060942288387594,0.0,0.01898304657274949,0.0,0.0,0.01182900583041277,0.031070799101715466,0.032684804969709005,0.03377430357273418
ANZ1 Tuff Clast 1 Zeo,0.023137686523467114,0.0,0.024996004814619503,0.0,0.01760223830884648,0.0,0.0,0.010709752070249835,0.027137695340373743,0.03324775421309557,0.03224983646364596
ANZ1 Tuff Clast 1,0.02300554265092587,0.0,0.025256241793165123,0.0,0.017136946281281734,0.0,0.0,0.010688442083414164,0.023500013378042278,0.032152016885986026,0.030165646008017893
ANZ1 Tuff Clast 1,0.023081417758745323,0.0,0.024839073939076545,0.0,0.017390358796567768,0.0,0.0,0.011680415174291683,0.027893770548365796,0.031620919565646236,0.03180295509281965
ANZ1 Tuff Clast 1,0.029196642278161506,0.024598779447769024,0.026480655611986745,0.0,0.017221401839541017,0.0,0.0,0.012039268381018766,0.0247601051435019,0.0300849700405168,0.030015706469032934
ANZ1 Tuff Clast 1,0.029495356042312824,0.025410848845764812,0.026127518073160876,0.0,0.017467420732787814,0.0,0.0036670482253920132,0.011665413858338499,0.028183075191004284,0.03143928639565067,0.03228523753919632
ANZ1 Tuff Clast 1,0.023302632449110686,0.0,0.02578740896030911,0.0,0.016950409702404277,0.0,0.0,0.011387069936386201,0.025515335505418433,0.031430719156362814,0.030658203404007545
